YS11;YS1;NAMC YS-11
YK42;YK2;Yakovlev Yak-42
YK40;YK4;Yakovlev Yak-40
Y12;YN2;Harbin Yunshuji Y12
WW24;WWP;Israel Aircraft Industries 1124 Westwind
VISC;VCV;Vickers Viscount
TRIS;BNT;Pilatus Britten-Norman BN-2A Mk III Trislander
TL20;;TL Ultralight TL-96 Star/TL-2000 Sting
TB20;;Socata TB-20 Trinidad
T204;T20;Tupolev Tu-204/Tu-214
T154;TU5;Tupolev Tu-154
T144;;Tupolev Tu-144
T134;TU3;Tupolev Tu-134
SU95;;Sukhoi Superjet 100
SH36;SH6;Shorts SD.360
SH33;SH3;Shorts SD.330
SF34;SF3;Saab SF340A/B
SC7;SHS;Shorts SC-7 Skyvan
SB20;S20;Saab 2000
S92;S92;Sikorsky S-92
S76;S76;Sikorsky S-76
S65C;NDH;Eurocopter (Aerospatiale) SA365C/SA365N Dauphin 2
S61;S61;Sikorsky S-61
S601;NDC;Aerospatiale SN.601 Corvette
S58T;S58;Sikorsky S-58T
S210;CRV;Aerospatiale (Sud Aviation) Se.210 Caravelle
RX85;AX8;Avro RJX85
RX1H;AX1;Avro RJX100
RJ85;AR8;Avro RJ85
RJ70;AR7;Avro RJ70
RJ1H;AR1;Avro RJ100
R200;;Robin HR200/R2000 series, Alpha160A
PC6T;PL6;Pilatus PC-6 Turbo Porter
PC12;PL2;Pilatus PC-12
PA46;PAG;Piper PA-46
PA31;PA2;Piper PA-31 Navajo
P68;PN6;Partenavia P.68
P28A;;Piper PA-28 Cherokee
P06T;;Tecnam P2006T
NOMA;CD2;Government Aircraft Factories N22B/N24A Nomad
N262;ND2;Aerospatiale (Nord) 262
MU2;MU2;Mitsubishi Mu-2
MI8;MIH;MIL Mi-8/Mi-17/Mi-171/Mil-172
MI24;;Mil Mi-24/Mi-25/Mi-35
MD90;M90;McDonnell Douglas MD-90
MD88;M88;McDonnell Douglas MD-88
MD87;M87;McDonnell Douglas MD-87
MD83;M83;McDonnell Douglas MD-83
MD82;M82;McDonnell Douglas MD-82
MD81;M81;McDonnell Douglas MD-81
MD11;M11;McDonnell Douglas MD-11
LOAD;ALM;Ayres LM200 Loadmaster
LJ60;LRJ;Learjet 60
LJ35;LRJ;Learjet 35/36/C-21A
L410;L4T;LET 410
L188;LOE;Lockheed L-188 Electra
L101;L10;Lockheed L-1011 Tristar
JU52;JU5;Junkers Ju52/3M
JS41;J41;British Aerospace Jetstream 41
JS32;J32;British Aerospace Jetstream 32
JS31;J31;British Aerospace Jetstream 31
J328;FRJ;Fairchild Dornier 328JET
